Title,Description,Category,Price,Status
Ming Dynasty Blue and White Porcelain Vase,Rare 15th century blue and white porcelain vase with dragon motifs. Excellent condition with minor restoration to base.,Ceramics,75000,upcoming
Original Monet Water Lilies Study,Small oil on canvas study for the famous Water Lilies series. Signed and dated 1919.,Paintings,450000,upcoming
Victorian Diamond Tiara,Stunning 19th century diamond tiara featuring 127 diamonds totaling 45 carats. Provenance: Estate of Countess Pemberton.,Jewelry,125000,live
Georgian Mahogany Secretary Desk,18th century mahogany secretary desk with secret compartments. Attributed to Thomas Chippendale workshop.,Furniture,28000,upcoming
First Edition Pride and Prejudice,1813 first edition of Jane Austen's Pride and Prejudice. Complete set in original binding.,Books,35000,ended
Venetian Glass Chandelier,Magnificent 18th century Murano glass chandelier with 24 arms. Recently restored to museum quality.,Lighting,62000,upcoming
Ancient Roman Bronze Statue,2nd century AD bronze figure of Mercury. Discovered in villa excavation near Pompeii.,Antiquities,180000,live
Art Deco Emerald Necklace,1920s Art Deco platinum necklace with Colombian emeralds and diamonds. Designer: Cartier.,Jewelry,95000,upcoming
Chinese Qing Dynasty Screen,Four-panel lacquered screen depicting seasons. Late 17th century with gold leaf details.,Furniture,42000,upcoming
Impressionist Landscape by Pissarro,Oil on canvas countryside scene painted in 1885. Excellent provenance and condition.,Paintings,320000,live
Sevres Porcelain Dinner Service,Complete 89-piece Sevres porcelain service commissioned for Napoleon III. Gold gilt decoration.,Ceramics,85000,upcoming
Medieval Illuminated Manuscript,13th century Book of Hours with 47 illuminated pages. Latin text with gold and tempera.,Books,125000,upcoming
Louis XVI Gilt Bronze Clock,Exquisite mantel clock by Ferdinand Berthoud. Original mechanism in working condition.,Decorative Arts,38000,ended
Ancient Greek Red-Figure Amphora,5th century BC Attic red-figure amphora attributed to the Achilles Painter.,Antiquities,95000,live
Tiffany Studios Wisteria Lamp,Authentic Tiffany Studios table lamp with wisteria shade. Signed base and shade.,Lighting,185000,upcoming
Regency Rosewood Pianoforte,1820 Broadwood grand pianoforte in rosewood case. Fully restored to concert condition.,Musical Instruments,45000,upcoming
Japanese Samurai Sword Set,Edo period katana and wakizashi set. Signed blade with original fittings and lacquered scabbards.,Arms & Armor,68000,live
Persian Silk Hunting Carpet,16th century Isfahan hunting carpet with silk highlights. Museum deaccessioned piece.,Textiles,155000,upcoming
Faberge Silver Cigarette Case,"Imperial Russian silver cigarette case with sapphire thumbpiece. Marked Faberge, St. Petersburg.",Decorative Arts,25000,ended
Picasso Ceramic Plate,"Hand-painted ceramic plate by Pablo Picasso from his Vallauris period, 1952.",Ceramics,32000,upcoming
Edo Period Woodblock Print,Hokusai's 'The Great Wave' original woodblock print. Excellent color retention.,Prints,28000,live
Renaissance Bronze Medal,15th century Italian bronze portrait medal by Pisanello. Rare historical artifact.,Antiquities,18000,upcoming
Baccarat Crystal Chandelier,19th century Baccarat crystal chandelier with 48 lights. Complete with all original crystals.,Lighting,78000,upcoming
Charles II Oak Coffer,Late 17th century English oak marriage coffer with carved panels and original ironwork.,Furniture,15000,ended
Chinese Export Porcelain Vase,Qianlong period famille rose vase made for European market. Exceptional quality and size.,Ceramics,58000,upcoming
Vintage Rolex Submariner,1965 Rolex Submariner reference 5513. Original dial and hands with service papers.,Watches,35000,live
Gothic Revival Silver Chalice,19th century Gothic Revival silver gilt chalice by Augustus Pugin. Church provenance.,Religious Art,22000,upcoming
Impressionist Pastel by Degas,Original pastel of ballet dancers by Edgar Degas. Signed and dated 1882.,Paintings,275000,upcoming
Venetian Blackamoor Torchiere,18th century carved and painted Venetian blackamoor holding torch. Pair available.,Decorative Arts,48000,live
First Folio Shakespeare,1623 First Folio of Shakespeare's collected works. Complete with all preliminary pages.,Books,850000,upcoming
Qing Dynasty Jade Figurine,18th century white jade figurine of Guanyin. Exceptional carving with translucent quality.,Sculptures,52000,upcoming
Renoir Portrait Study,Original charcoal portrait study by Pierre-Auguste Renoir. Signed and dated 1876.,Paintings,180000,live
Lalique Crystal Vase,Art Nouveau frosted crystal vase by René Lalique. Featuring detailed bird motifs.,Decorative Arts,15000,ended
Byzantine Gold Coin,7th century Byzantine solidus featuring Emperor Heraclius. Excellent preservation.,Coins,8500,upcoming
Empire Mahogany Dining Table,Early 19th century French Empire dining table with bronze mounts. Seats twelve.,Furniture,65000,live
Chinese Blue and White Ginger Jar,Kangxi period ginger jar with lid. Classic blue and white floral decoration.,Ceramics,28000,upcoming
Stradivarius Violin Copy,19th century violin copy of 1715 Stradivarius. Excellent tone and condition.,Musical Instruments,85000,upcoming
Roman Glass Unguentarium,1st century AD Roman glass perfume bottle. Iridescent patina from burial.,Antiquities,3500,ended
Tiffany & Co. Silver Tea Set,Complete five-piece sterling silver tea service. Marked Tiffany & Co. New York.,Silver,45000,live
Moorcroft Pottery Vase,William Moorcroft flambe glazed vase with poppy design. Signed and dated 1905.,Ceramics,12000,upcoming
Persian Miniature Painting,16th century Persian miniature depicting garden scene. Gold and lapis lazuli pigments.,Paintings,35000,upcoming
Chippendale Ribbon-Back Chair,Mid-18th century mahogany ribbon-back chair attributed to Thomas Chippendale.,Furniture,18000,live
Egyptian Canopic Jar,New Kingdom limestone canopic jar with hieroglyphic inscriptions. 19th Dynasty.,Antiquities,125000,ended
Waterford Crystal Chandelier,19th century Waterford crystal chandelier with 36 lights. Complete restoration.,Lighting,55000,upcoming
